,F1_test
c-resunet_g_lr001_fs_40.h5,0.6914519992119407
c-resunet_g_lr001_fs_20_rs_100.h5,0.689089587591147
c-resunet_g_lr001_fs_30_rs_10.h5,0.6879732615793318
c-resunet_g_lr001_fs_30_rs_100.h5,0.6701210880131906
c-resunet_g_lr001_fs_100_rs_100.h5,0.7465412148712305
c-resunet_g_lr001_fs_30.h5,0.5547100120313929
c-resunet_g_lr001_fs_100_rs_1234.h5,0.7712203108618628
c-resunet_g_lr001_fs_40_rs_123.h5,0.7630059245476577
c-resunet_g_lr001_fs_40_rs_100.h5,0.741816258573152
c-resunet_g_lr001_fs_70.h5,0.7591608148068807
c-resunet_g_lr001_fs_100_rs_123.h5,0.631868315750092
c-resunet_g_lr001_fs_240.h5,0.7828885282158069
c-resunet_g_lr001_fs_20.h5,0.6747116082310555
c-resunet_g_lr001_fs_40_rs_10.h5,0.7025071295224905
c-resunet_g_lr001_fs_30_rs_123.h5,0.6492206852891507
c-resunet_g_lr001_fs_20_rs_123.h5,0.6559558692765266
c-resunet_g_lr001_fs_100.h5,0.7513623450746516
c-resunet_g_lr001_fs_50.h5,0.7411591434418167
c-resunet_g_lr001_fs_20_rs_10.h5,0.6328316499117775
c-resunet_g_lr001_fs_10.h5,0.6129810793420838
c-resunet_g_lr001_fs_100_rs_10.h5,0.7578314711858607
