,F1_test
c-resunet_y_11_dec_bottl_fs_30_rs_100.h5,0.7532875683859935
c-resunet_y_11_dec_bottl_fs_10.h5,0.7072906924424959
c-resunet_y_11_dec_bottl_fs_50.h5,0.7788883329866753
c-resunet_y_11_dec_bottl_fs_20_rs_123.h5,0.7328044095208931
c-resunet_y_11_ft_dec_bottl_fs_100.h5,0.7729616411266195
c-resunet_y_11_dec_bottl_fs_40_rs_10.h5,0.7455733174443508
c-resunet_y_11_dec_bottl_fs_100_rs_123.h5,0.7988068950567483
c-resunet_y_11_dec_bottl_fs_40.h5,0.7569722605134781
c-resunet_y_11_dec_bottl_fs_100_rs_10.h5,0.7923324010655585
c-resunet_y_11_dec_bottl_fs_20_rs_100.h5,0.7272196148727719
c-resunet_y_11_dec_bottl_fs_30_rs_10.h5,0.7643853637883926
c-resunet_y_11_dec_bottl_fs_70.h5,0.7847177510181057
c-resunet_y_11_dec_bottl_fs_40_rs_123.h5,0.7880946049209933
c-resunet_y_11_dec_bottl_fs_20_rs_10.h5,0.7703838307051375
c-resunet_y_11_dec_bottl_fs_20.h5,0.7620539999661866
c-resunet_y_11_dec_bottl_fs_30.h5,0.759172942513047
c-resunet_y_11_dec_bottl_fs_30_rs_123.h5,0.7482624670519993
c-resunet_y_11_dec_bottl_fs_40_rs_100.h5,0.7680429058254198
c-resunet_y_11_dec_bottl_fs_100_rs_100.h5,0.7947187710036021
