,F1_test
c-resunet_g_lr001_fs_70_rs_234.h5,0.7781508830327232
c-resunet_g_lr001_fs_20_rs_100.h5,0.710407403615722
c-resunet_g_lr001_fs_30_rs_10.h5,0.7511934658750202
c-resunet_g_lr001_fs_150_rs_100.h5,0.7862241475493965
c-resunet_g_lr001_fs_70_rs_10.h5,0.7638038258872234
c-resunet_g_lr001_fs_150_rs_10.h5,0.7862814948990188
c-resunet_g_lr001_fs_30_rs_100.h5,0.7415667572517111
c-resunet_g_lr001_fs_100_rs_234.h5,0.7264499426025783
c-resunet_g_lr001_fs_100_rs_100.h5,0.7436119761056699
c-resunet_g_lr001_fs_10_rs_100.h5,0.6807455399096024
c-resunet_g_lr001_fs_10_rs_123.h5,0.6739699144653549
c-resunet_g_lr001_fs_40_rs_123.h5,0.7011433308963904
c-resunet_g_lr001_fs_20_rs_234.h5,0.6734517746718379
c-resunet_g_lr001_fs_40_rs_100.h5,0.7332770345599579
c-resunet_g_lr001_fs_150_rs_123.h5,0.7778791991010641
c-resunet_g_lr001_fs_10_rs_10.h5,0.6944055696342032
c-resunet_g_lr001_fs_100_rs_123.h5,0.5991108010731887
c-resunet_g_lr001_fs_10_rs_234.h5,0.5978629933279003
c-resunet_g_lr001_fs_40_rs_10.h5,0.7643476983983979
c-resunet_g_lr001_fs_30_rs_123.h5,0.7265604665208695
c-resunet_g_lr001_fs_40_rs_234.h5,0.716279225018208
c-resunet_g_lr001_fs_30_rs_234.h5,0.7129062259840644
c-resunet_g_lr001_fs_20_rs_123.h5,0.6566780383993601
c-resunet_g_lr001_fs_20_rs_10.h5,0.6839020874722348
c-resunet_g_lr001_fs_70_rs_123.h5,0.7582354363320964
c-resunet_g_lr001_fs_70_rs_100.h5,0.7645617629909485
c-resunet_g_lr001_fs_100_rs_10.h5,0.7781193742351724
