,F1_test
c-resunet_y_11_dec_bottl_fs_30_rs_100.h5,0.7558861487694246
c-resunet_y_11_dec_bottl_fs_70_rs_234.h5,0.7615834540758183
c-resunet_y_11_dec_bottl_fs_20_rs_123.h5,0.758642124294985
c-resunet_y_11_dec_bottl_fs_70_rs_10.h5,0.7938145658411302
c-resunet_y_11_dec_bottl_fs_100_rs_234.h5,0.7401327817285874
c-resunet_y_11_dec_bottl_fs_70_rs_123.h5,0.7759198687018128
c-resunet_y_11_dec_bottl_fs_40_rs_10.h5,0.7946318385569047
c-resunet_y_11_dec_bottl_fs_150_rs_100.h5,0.7930284512739176
c-resunet_y_11_dec_bottl_fs_10_rs_100.h5,0.7690218960449077
c-resunet_y_11_dec_bottl_fs_10_rs_123.h5,0.7287941553409376
c-resunet_y_11_dec_bottl_fs_100_rs_123.h5,0.7771157466533095
c-resunet_y_11_dec_bottl_fs_40_rs_234.h5,0.7791515007340456
c-resunet_y_11_dec_bottl_fs_150_rs_10.h5,0.783894442343855
c-resunet_y_11_dec_bottl_fs_20_rs_234.h5,0.7509146984272043
c-resunet_y_11_dec_bottl_fs_10_rs_10.h5,0.710360783994972
c-resunet_y_11_dec_bottl_fs_100_rs_10.h5,0.7721131620926522
c-resunet_y_11_dec_bottl_fs_10_rs_1234.h5,0.7549955395047407
c-resunet_y_11_dec_bottl_fs_20_rs_100.h5,0.7492609407090829
c-resunet_y_11_dec_bottl_fs_30_rs_10.h5,0.7927136980441595
c-resunet_y_11_dec_bottl_fs_30_rs_234.h5,0.7472314350283811
c-resunet_y_11_dec_bottl_fs_150_rs_123.h5,0.7967632762133356
c-resunet_y_11_dec_bottl_fs_40_rs_123.h5,0.7735559014174227
c-resunet_y_11_dec_bottl_fs_20_rs_10.h5,0.7693705996546006
c-resunet_y_11_dec_bottl_fs_30_rs_123.h5,0.7610831531787248
c-resunet_y_11_dec_bottl_fs_40_rs_100.h5,0.7661816251584855
c-resunet_y_11_dec_bottl_fs_70_rs_100.h5,0.7874501461395593
c-resunet_y_11_dec_bottl_fs_100_rs_100.h5,0.7992461204862579
